rank,code,market,tech_score,fund_score,buffett_score,total_score,rsi,roe,net_profit,close,date
113,300711,创业板,0,4,4,8,47.3044,0.1239,95813600.0,24.61,2026-04-13
114,300059,创业板,0,5,3,8,63.292,0.1402999999999999,12085000000.0,20.01,2026-04-13
115,300236,创业板,0,4,4,8,72.6168,0.0617999999999999,301000000.0,83.63,2026-04-13
116,301299,创业板,0,4,4,8,56.0638,0.1076999999999999,65642299.99999999,67.4,2026-04-10
117,300435,创业板,0,4,4,8,55.1418,0.1127,336000000.0,26.81,2026-04-13
118,301101,创业板,0,4,4,8,64.2616,0.0877,149000000.0,34.9,2026-04-10
119,300623,创业板,0,4,4,8,57.2872,0.0594,347000000.0,28.14,2026-04-13
120,301498,创业板,0,5,3,8,42.7495,0.1172,513000000.0,51.36,2026-04-10
121,301535,创业板,3,1,4,8,35.4708,0.0746,78952800.0,19.66,2026-04-10
122,301507,创业板,0,4,4,8,50.2699,0.0724,114000000.0,14.21,2026-04-10
123,300285,创业板,0,4,4,8,73.3372,0.0709,489000000.0,34.23,2026-04-13
124,301508,创业板,0,4,4,8,53.6648,0.0764,152000000.0,29.43,2026-04-10
125,300406,创业板,0,4,4,8,46.659,0.0673,272000000.0,11.92,2026-04-13
126,301196,创业板,0,4,4,8,67.8221,0.0688,222000000.00000003,111.2,2026-04-10
127,300002,创业板,0,4,4,8,47.0033,0.099,724000000.0,9.49,2026-04-13
128,301363,创业板,0,4,4,8,53.9144,0.0579,208000000.0,26.09,2026-04-10
129,300833,创业板,0,4,4,8,57.3218,0.0553,134000000.0,34.1,2026-04-13
130,301305,创业板,0,4,4,8,70.6691,0.0675,249000000.00000003,26.31,2026-04-10
131,300515,创业板,0,5,3,8,55.1909,0.1449,115000000.0,18.18,2026-04-13
132,301267,创业板,0,4,4,8,57.8239,0.0736,434000000.0,17.17,2026-04-10
133,301162,创业板,0,4,4,8,38.0021,0.0969,130000000.0,62.35,2026-04-10
134,300664,创业板,0,4,4,8,63.6502,0.0623,270000000.0,6.21,2026-04-13
135,301550,创业板,0,4,4,8,70.0364,0.0785,140000000.0,167.79,2026-04-10
136,300864,创业板,0,4,4,8,45.2429,0.09,119000000.0,20.34,2026-04-13
137,300759,创业板,0,5,3,8,69.0266,0.1159999999999999,1664000000.0,30.67,2026-04-13
138,301195,创业板,0,4,4,8,54.2317,0.0437,105000000.0,31.44,2026-04-10
139,300951,创业板,0,4,4,8,61.0265,0.0612,144000000.0,37.68,2026-04-13
140,301050,创业板,0,4,4,8,58.0582,0.0504999999999999,157000000.0,46.92,2026-04-13
141,301043,创业板,1,3,4,8,43.0285,0.0712,61737299.99999999,51.53,2026-04-13
142,300039,创业板,0,4,4,8,40.6784,0.1079,187000000.0,5.89,2026-04-13
143,301029,创业板,0,4,4,8,78.2168,0.0988,417000000.0,26.12,2026-04-13
144,301160,创业板,1,3,4,8,65.6792,0.0891,151000000.0,58.02,2026-04-10
145,301616,创业板,0,4,4,8,68.2235,0.1447,181000000.0,49.29,2026-04-10
146,301551,创业板,0,4,4,8,55.0606,0.0863,217000000.0,29.66,2026-04-10
147,300772,创业板,4,2,2,8,30.7463,0.053,340000000.0,17.17,2026-04-13
148,300049,创业板,0,4,4,8,43.742,0.0827,154000000.0,56.11,2026-04-13
149,301367,创业板,0,4,4,8,53.0159,0.062,180000000.0,69.35,2026-04-10
150,301377,创业板,0,4,4,8,74.2537,0.0938,261000000.0,214.71,2026-04-10
151,300401,创业板,0,4,4,8,42.4641,0.0709,234000000.0,14.01,2026-04-13
152,300850,创业板,0,4,4,8,42.3108,0.1378,818000000.0,41.85,2026-04-13
153,300003,创业板,0,4,4,8,46.9467,0.0625,982000000.0,16.31,2026-04-13
154,300743,创业板,0,4,4,8,54.242,0.1433,91086600.0,17.91,2026-04-13
155,300726,创业板,0,4,4,8,58.318,0.0630999999999999,327000000.0,43.48,2026-04-13
156,300695,创业板,0,4,4,8,67.3648,0.1288,350000000.0,73.2,2026-04-13
157,301580,创业板,0,4,4,8,54.2893,0.0694,142000000.0,72.48,2026-04-10
158,301548,创业板,0,4,4,8,65.0615,0.0676,102000000.0,71.11,2026-04-10
159,300109,创业板,0,4,4,8,73.0256,0.0542,201000000.0,18.92,2026-04-13
160,301395,创业板,5,0,3,8,25.3414,0.0207,32065300.000000004,14.1,2026-04-10
161,301303,创业板,0,4,4,8,73.9716,0.075,250000000.0,15.84,2026-04-10
162,300201,创业板,0,4,4,8,60.3668,0.1085999999999999,176000000.0,11.2,2026-04-13
163,301015,创业板,0,5,3,8,51.715,0.2025,476000000.0,24.15,2026-04-13
164,301509,创业板,0,4,4,8,61.2758,0.0474,103000000.0,43.46,2026-04-10
165,300993,创业板,0,4,4,8,51.2117,0.0742,111000000.0,12.34,2026-04-13
166,300488,创业板,0,4,4,8,56.9181,0.0698,114000000.0,28.43,2026-04-13
167,301277,创业板,0,4,4,8,51.871,0.0793,121000000.0,12.1,2026-04-10
168,300446,创业板,0,4,4,8,65.2341,0.1581,881000000.0,20.73,2026-04-13
169,301491,创业板,1,4,3,8,52.8179,0.1168,156000000.0,50.3,2026-04-10
170,300969,创业板,0,4,4,8,41.6481,0.0967,129000000.0,118.33,2026-04-13
171,301080,创业板,0,4,4,8,69.2723,0.0506,132000000.0,48.87,2026-04-10
172,300017,创业板,0,4,4,8,58.8703,0.0784,800000000.0,18.16,2026-04-13
173,300717,创业板,1,3,4,8,48.199,0.0764,55040500.0,20.48,2026-04-13
174,301323,创业板,0,4,4,8,65.9872,0.0489,104000000.0,65.25,2026-04-10
175,301458,创业板,0,4,4,8,50.0783,0.0736,114000000.0,34.63,2026-04-10
176,301281,创业板,4,1,3,8,34.5748,0.0121999999999999,16553000.0,34.79,2026-04-10
177,301262,创业板,0,4,4,8,54.2976,0.0856,319000000.0,23.42,2026-04-10
178,300384,创业板,0,4,4,8,43.2014,0.0754,203000000.0,15.06,2026-04-13
179,300146,创业板,0,4,4,8,42.909,0.0718,782000000.0,10.89,2026-04-13
180,300346,创业板,0,4,4,8,60.4302,0.0919,320000000.0,47.72,2026-04-13
181,300880,创业板,3,2,3,8,42.7496,0.0636,68250200.0,21.11,2026-04-13
182,301603,创业板,0,4,4,8,59.5363,0.126,277000000.0,72.32,2026-04-10
183,300389,创业板,1,4,3,8,65.2744,0.1578,252000000.0,19.66,2026-04-13
184,300398,创业板,0,4,4,8,66.291,0.0643,291000000.0,27.73,2026-04-13
185,301588,创业板,4,1,3,8,35.52,0.0302999999999999,28395600.0,20.78,2026-04-10
186,301668,创业板,0,4,4,8,47.5734,0.1698,105000000.0,50.6,2026-04-10
187,300508,创业板,0,4,4,8,60.5077,0.1086999999999999,87810500.0,38.6,2026-04-13
188,300871,创业板,0,4,4,8,43.2743,0.1035,188000000.0,24.39,2026-04-13
189,301022,创业板,4,1,3,8,28.8857,0.0584,58701400.0,27.83,2026-04-03
190,300445,创业板,0,4,4,8,56.2724,0.0837,104000000.0,20.34,2026-04-13
191,300777,创业板,0,4,4,8,67.587,0.0713,315000000.0,37.49,2026-04-13
192,301003,创业板,0,4,4,8,53.5432,0.0877999999999999,102000000.0,50.95,2026-04-13
193,301333,创业板,0,4,4,8,60.1339,0.0721,137000000.0,67.83,2026-04-10
194,301000,创业板,0,4,4,8,54.8985,0.089,107000000.0,29.66,2026-04-13
195,301536,创业板,1,4,3,8,66.4781,0.0997,308000000.0,74.11,2026-04-10
196,300505,创业板,0,4,4,8,33.5815,0.1667,454000000.0,27.57,2026-04-13
197,301566,创业板,0,4,4,8,57.6417,0.0902,126000000.0,20.4,2026-04-10
198,300661,创业板,0,5,3,8,54.1877,0.1124,547000000.0,74.6,2026-04-13
199,300395,创业板,0,4,4,8,74.9572,0.0779,334000000.0,108.9,2026-04-13
200,301600,创业板,0,4,4,8,55.1046,0.1056,136000000.0,103.22,2026-04-10
