rank,code,market,tech_score,fund_score,buffett_score,total_score,rsi,roe,net_profit,close,date
111,300820,创业板,0,4,8,12,51.4032,0.0781,193000000.0,46.01,2026-04-13
112,301047,创业板,0,4,8,12,54.9565,0.0260999999999999,148000000.0,72.98,2026-04-13
113,301571,创业板,0,4,8,12,69.1227,0.0668,126000000.0,68.88,2026-04-10
114,300771,创业板,0,3,9,12,48.9609,0.0421999999999999,82745100.0,13.73,2026-04-13
115,301330,创业板,0,4,8,12,51.7318,0.038,128000000.0,34.1,2026-04-10
116,300775,创业板,0,4,8,12,57.7073,0.0636,375000000.0,37.02,2026-04-13
117,300711,创业板,0,4,8,12,47.3044,0.1239,95813600.0,24.61,2026-04-13
118,300908,创业板,0,5,7,12,61.755,0.1094999999999999,192000000.0,27.96,2026-04-13
119,300938,创业板,0,5,7,12,56.5428,0.124,196000000.0,40.2,2026-04-13
120,300236,创业板,0,4,8,12,72.6168,0.0617999999999999,301000000.0,83.63,2026-04-13
121,301155,创业板,4,2,6,12,32.4568,0.0622,347000000.0,66.06,2026-04-10
122,300476,创业板,0,6,6,12,75.8092,0.3556,4312000000.0,298.15,2026-04-13
123,300435,创业板,0,4,8,12,55.1418,0.1127,336000000.0,26.81,2026-04-13
124,301498,创业板,0,5,7,12,42.7495,0.1172,513000000.0,51.36,2026-04-10
125,300718,创业板,0,5,7,12,62.5403,0.1115,188000000.0,72.32,2026-04-13
126,300163,创业板,0,2,10,12,45.7098,0.1821,96975200.0,4.57,2026-04-13
127,301507,创业板,0,4,8,12,50.2699,0.0724,114000000.0,14.21,2026-04-10
128,301508,创业板,0,4,8,12,53.6648,0.0764,152000000.0,29.43,2026-04-10
129,300406,创业板,0,4,8,12,46.659,0.0673,272000000.0,11.92,2026-04-13
130,301196,创业板,0,4,8,12,67.8221,0.0688,222000000.00000003,111.2,2026-04-10
131,300873,创业板,0,3,9,12,51.2311,0.0661,204000000.0,22.33,2026-04-13
132,301528,创业板,0,3,9,12,50.1451,0.0239,36246800.0,60.56,2026-04-10
133,301297,创业板,0,4,8,12,64.6458,0.0524,211000000.0,34.9,2026-04-10
134,301638,创业板,3,1,8,12,44.2132,0.0746,630000000.0,26.4,2026-04-10
135,301305,创业板,0,4,8,12,70.6691,0.0675,249000000.00000003,26.31,2026-04-10
136,301287,创业板,0,3,9,12,54.1091,0.0489,56712500.0,42.04,2026-04-10
137,301275,创业板,0,4,8,12,51.8738,0.0867,314000000.0,41.32,2026-04-10
138,301393,创业板,0,3,9,12,65.1978,0.043,99238300.0,54.56,2026-04-10
139,301267,创业板,0,4,8,12,57.8239,0.0736,434000000.0,17.17,2026-04-10
140,301162,创业板,0,4,8,12,38.0021,0.0969,130000000.0,62.35,2026-04-10
141,300140,创业板,4,3,5,12,33.7545,0.0630999999999999,871000000.0000001,6.34,2026-04-13
142,301203,创业板,0,3,9,12,55.6148,0.0688,98166700.0,41.02,2026-04-10
143,300403,创业板,0,5,7,12,60.5723,0.111,236000000.0,11.95,2026-04-13
144,301020,创业板,0,3,9,12,59.5836,0.0925,88505000.0,21.53,2026-04-13
145,300335,创业板,3,2,7,12,45.4366,0.035,66658900.0,7.13,2026-04-13
146,301591,创业板,0,3,9,12,57.6692,0.0662,59071400.0,42.5,2026-04-10
147,300138,创业板,4,3,5,12,36.6058,0.1137,369000000.0,11.97,2026-04-13
148,300482,创业板,4,2,6,12,36.3176,0.0247,134000000.0,17.75,2026-04-13
149,300415,创业板,0,5,7,12,57.4129,0.1807,564000000.0,24.99,2026-04-13
150,301318,创业板,0,3,9,12,52.5257,0.0464,85943900.0,26.73,2026-04-10
151,301419,创业板,0,3,9,12,70.2838,0.0549,52240600.00000001,45.0,2026-04-10
152,300049,创业板,0,4,8,12,43.742,0.0827,154000000.0,56.11,2026-04-13
153,301006,创业板,0,3,9,12,53.146,0.0429,54153600.0,17.32,2026-04-13
154,301377,创业板,0,4,8,12,74.2537,0.0938,261000000.0,214.71,2026-04-10
155,300401,创业板,0,4,8,12,42.4641,0.0709,234000000.0,14.01,2026-04-13
156,300962,创业板,0,3,9,12,44.9225,0.092,89805500.0,16.38,2026-04-13
157,300906,创业板,0,3,9,12,55.6346,0.0401,36452800.0,32.34,2026-04-13
158,300003,创业板,0,4,8,12,46.9467,0.0625,982000000.0,16.31,2026-04-13
159,300743,创业板,0,4,8,12,54.242,0.1433,91086600.0,17.91,2026-04-13
160,300400,创业板,0,4,8,12,48.705,0.1077999999999999,83978500.0,25.89,2026-04-13
161,301361,创业板,0,3,9,12,48.037,0.081,96474800.0,36.54,2026-04-10
162,300354,创业板,0,5,7,12,61.7522,0.13,101000000.0,36.08,2026-04-13
163,300109,创业板,0,4,8,12,73.0256,0.0542,201000000.0,18.92,2026-04-13
164,300811,创业板,0,5,7,12,72.4189,0.1094,294000000.0,82.97,2026-04-13
165,300201,创业板,0,4,8,12,60.3668,0.1085999999999999,176000000.0,11.2,2026-04-13
166,300373,创业板,0,5,7,12,65.0846,0.1373,1259000000.0,77.48,2026-04-13
167,300529,创业板,0,5,7,12,42.1028,0.1374,453000000.0,17.46,2026-04-13
168,301015,创业板,0,5,7,12,51.715,0.2025,476000000.0,24.15,2026-04-13
169,301585,创业板,0,3,9,12,52.883,0.0495,47490000.0,28.05,2026-04-10
170,301525,创业板,1,3,8,12,50.1219,0.0416,134000000.0,71.72,2026-04-10
171,301023,创业板,0,3,9,12,54.5826,0.0698,58328500.0,39.78,2026-04-13
172,301678,创业板,0,3,9,12,60.3212,0.094,120000000.0,62.24,2026-04-10
173,301632,创业板,1,3,8,12,47.469,0.0508,116000000.0,20.55,2026-04-10
174,301626,创业板,1,4,7,12,73.8048,0.0926,143000000.0,280.0,2026-04-10
175,301138,创业板,0,3,9,12,73.3074,0.0615,70760400.0,37.83,2026-04-10
176,301556,创业板,0,3,9,12,49.2336,0.0942,91294400.0,83.26,2026-04-10
177,301328,创业板,0,3,9,12,74.3034,0.0421,81599200.0,50.0,2026-04-10
178,301611,创业板,0,5,7,12,44.3027,0.1503999999999999,245000000.00000003,94.18,2026-04-10
179,300717,创业板,1,3,8,12,48.199,0.0764,55040500.0,20.48,2026-04-13
180,300684,创业板,0,5,7,12,71.9704,0.1214,252000000.0,53.43,2026-04-13
181,300384,创业板,0,4,8,12,43.2014,0.0754,203000000.0,15.06,2026-04-13
182,300146,创业板,0,4,8,12,42.909,0.0718,782000000.0,10.89,2026-04-13
183,300776,创业板,0,5,7,12,60.2483,0.1409,519000000.00000006,78.95,2026-04-13
184,300880,创业板,3,2,7,12,42.7496,0.0636,68250200.0,21.11,2026-04-13
185,301028,创业板,0,5,7,12,62.8972,0.1233,192000000.0,14.5,2026-04-13
186,300398,创业板,0,4,8,12,66.291,0.0643,291000000.0,27.73,2026-04-13
187,301119,创业板,0,3,9,12,73.4513,0.0885,90998600.0,44.98,2026-04-10
188,301668,创业板,0,4,8,12,47.5734,0.1698,105000000.0,50.6,2026-04-10
189,300193,创业板,0,3,9,12,49.6801,0.0867,198000000.0,8.57,2026-04-13
190,301289,创业板,0,3,9,12,63.2107,0.0654,66023700.0,54.35,2026-04-10
191,300470,创业板,0,5,7,12,70.9524,0.138,385000000.0,38.68,2026-04-13
192,300144,创业板,0,3,9,12,48.9656,0.0906,754000000.0,7.79,2026-04-13
193,300505,创业板,0,4,8,12,33.5815,0.1667,454000000.0,27.57,2026-04-13
194,300661,创业板,0,5,7,12,54.1877,0.1124,547000000.0,74.6,2026-04-13
195,301219,创业板,0,3,9,12,66.2902,0.0827,751000000.0,64.5,2026-04-10
196,300395,创业板,0,4,8,12,74.9572,0.0779,334000000.0,108.9,2026-04-13
197,301016,创业板,0,3,9,12,57.8291,0.0694,70816600.0,22.61,2026-04-13
198,300559,创业板,0,2,9,11,45.3029,0.0401,48618300.0,13.5,2026-04-13
199,301362,创业板,0,3,8,11,91.4681,0.0598,150000000.0,143.0,2026-04-10
200,300940,创业板,0,3,8,11,55.9414,0.0971,110000000.0,22.5,2026-04-13
