rank,code,market,tech_score,fund_score,buffett_score,total_score,rsi,roe,net_profit,close,date
127,603025,主板A股,0,6,9,15,50.4978,0.2855999999999999,710000000.0,14.11,2026-04-10
128,000899,主板A股,6,4,5,15,28.6036,0.1432,871000000.0000001,12.24,2026-04-03
129,601083,主板A股,0,5,10,15,69.6769,0.1663,1500000000.0,13.19,2026-04-10
130,605099,主板A股,0,5,10,15,50.0228,0.1784,515000000.00000006,41.6,2026-04-10
131,300274,创业板,1,6,8,15,45.8958,0.3126,13461000000.000002,134.24,2026-04-13
132,688313,科创板,0,6,9,15,82.8615,0.2234,300000000.0,116.8,2026-04-13
133,300570,创业板,0,5,10,15,81.0341,0.1838,299000000.0,136.6,2026-04-13
134,688208,科创板,0,6,9,15,70.8146,0.2596,936000000.0,36.05,2026-04-13
135,000833,主板A股,4,5,6,15,31.515,0.1281,480000000.0,23.74,2026-04-03
136,605305,主板A股,0,5,10,15,67.6607,0.1911,530000000.0,43.21,2026-04-10
137,603288,主板A股,0,5,10,15,66.3538,0.1959,7038000000.0,41.35,2026-04-10
138,600660,主板A股,0,6,9,15,46.1962,0.2556,9312000000.0,57.41,2026-04-10
139,300487,创业板,0,5,10,15,60.34,0.1571,652000000.0,70.63,2026-04-13
140,000987,主板A股,5,5,5,15,29.751,0.1125999999999999,3519000000.0,8.03,2026-04-03
141,000752,主板A股,0,6,9,15,45.7221,0.6892,145000000.0,9.28,2026-04-13
142,603816,主板A股,4,5,6,15,33.7032,0.1497,1539000000.0,32.88,2026-04-10
143,300573,创业板,0,6,9,15,54.2324,0.3290999999999999,599000000.0,67.8,2026-04-13
144,300502,创业板,0,6,9,15,68.5102,0.552,6327000000.0,512.72,2026-04-13
145,601958,主板A股,0,5,10,15,46.1514,0.1737999999999999,3155000000.0,18.93,2026-04-10
146,001395,主板A股,4,5,6,15,29.0896,0.1275,139000000.0,37.93,2026-04-03
147,301109,创业板,4,4,7,15,31.361,0.094,717000000.0,15.28,2026-04-10
148,600163,主板A股,4,3,8,15,30.5699,0.0478,328000000.0,5.95,2026-04-10
149,605016,主板A股,0,5,10,15,79.497,0.1949,369000000.0,27.91,2026-04-10
150,301595,创业板,6,2,7,15,23.2581,0.084,61448100.00000001,49.03,2026-04-10
151,603092,主板A股,0,5,9,14,55.7198,0.2394,827000000.0,68.25,2026-04-10
152,000729,主板A股,0,5,9,14,61.7315,0.1107,1679000000.0,13.96,2026-04-13
153,688049,科创板,0,5,9,14,60.5935,0.1046,205000000.0,46.72,2026-04-13
154,603402,主板A股,0,4,10,14,43.8023,0.0,369000000.0,131.9,2026-04-10
155,301004,创业板,0,5,9,14,45.8642,0.1863,368000000.0,47.12,2026-04-13
156,300705,创业板,0,5,9,14,40.3685,0.1485,406000000.0,14.01,2026-04-13
157,600085,主板A股,3,3,8,14,40.5192,0.0886,1189000000.0,27.8,2026-04-10
158,688169,科创板,5,3,6,14,39.6583,0.0778,1038000000.0,115.96,2026-04-10
159,605011,主板A股,5,2,7,14,29.8641,0.0611,145000000.0,19.18,2026-04-10
160,002275,中小板,0,5,9,14,40.5962,0.1226999999999999,385000000.0,14.1,2026-04-13
161,600873,主板A股,3,4,7,14,34.2794,0.1973,3025000000.0,11.03,2026-04-10
162,688171,科创板,4,2,8,14,33.3807,0.0053,4361300.0,44.29,2026-04-13
163,688029,科创板,0,5,9,14,81.2408,0.1275,509000000.0,80.01,2026-04-10
164,600938,主板A股,0,5,9,14,36.6093,0.1564,122082000000.0,38.1,2026-04-10
165,600007,主板A股,0,5,9,14,66.5592,0.1264,1202000000.0,21.38,2026-04-10
166,300492,创业板,2,6,6,14,23.4788,0.7757,249000000.00000003,52.25,2026-04-13
167,600803,主板A股,6,3,5,14,28.6878,0.1935,4681000000.0,20.8,2026-04-10
168,603337,主板A股,1,5,8,14,53.8746,0.1438,682000000.0,39.48,2026-04-10
169,601100,主板A股,0,5,9,14,54.456,0.1234,2087000000.0,101.38,2026-04-10
170,301552,创业板,0,5,9,14,65.6979,0.1326,155000000.0,41.73,2026-04-10
171,000902,主板A股,4,4,6,14,27.4257,0.1236999999999999,1374000000.0,15.34,2026-04-03
172,600269,主板A股,4,4,6,14,30.4738,0.0672,1280000000.0,4.48,2026-04-10
173,300643,创业板,0,5,9,14,66.699,0.104,127000000.0,18.05,2026-04-13
174,002444,中小板,0,5,9,14,47.0415,0.122,2155000000.0,30.33,2026-04-13
175,001285,主板A股,1,4,9,14,46.3439,0.1445,333000000.0,50.9,2026-04-03
176,600367,主板A股,4,2,8,14,36.084,0.0441,107000000.0,20.38,2026-04-10
177,301033,创业板,3,4,7,14,39.2077,0.1043,75854000.0,58.52,2026-04-13
178,002773,中小板,0,5,9,14,43.1268,0.1155,1033000000.0,27.81,2026-04-13
179,605060,主板A股,1,4,9,14,72.4064,0.0953,228000000.0,59.03,2026-04-10
180,002836,中小板,5,2,7,14,31.8948,0.1089,40264300.0,12.7,2026-04-13
181,000513,主板A股,0,5,9,14,34.7619,0.1467,2023000000.0,33.57,2026-04-13
182,301568,创业板,0,5,9,14,63.8717,0.1101999999999999,112000000.0,53.4,2026-04-10
183,000860,主板A股,5,1,8,14,18.4325,0.011,76982800.0,12.64,2026-04-03
184,300206,创业板,0,5,9,14,65.5528,0.1469,306000000.0,14.79,2026-04-13
185,603393,主板A股,3,4,7,14,35.9405,0.0943,807000000.0,33.85,2026-04-10
186,688336,科创板,0,6,8,14,60.5531,0.4132,2899000000.0,85.47,2026-04-13
187,688809,科创板,0,6,8,14,67.765,0.2002,250000000.0,348.6,2026-04-13
188,601858,主板A股,3,3,8,14,41.5181,0.0566,310000000.0,22.02,2026-04-10
189,001210,主板A股,3,4,7,14,33.0421,0.1031,134000000.0,20.35,2026-04-03
190,603833,主板A股,3,4,7,14,34.0747,0.0942,1832000000.0,52.5,2026-04-10
191,001289,主板A股,6,4,4,14,16.2659,0.0608,4526000000.0,15.58,2026-04-03
192,002357,中小板,5,3,6,14,23.8861,0.0941,156000000.0,11.38,2026-04-13
193,603099,主板A股,0,5,9,14,46.7331,0.1033,129000000.0,35.24,2026-04-10
194,603195,主板A股,0,5,9,14,42.0882,0.1826,2979000000.0,41.32,2026-04-10
195,002252,中小板,4,3,7,14,31.6855,0.049,1577000000.0,5.68,2026-04-13
196,300130,创业板,0,5,9,14,49.8014,0.108,469000000.00000006,23.24,2026-04-13
197,603207,主板A股,0,5,9,14,49.8238,0.1415,170000000.0,27.57,2026-04-10
198,688198,科创板,4,3,7,14,30.9877,0.0739,92696900.0,93.36,2026-04-13
199,688692,科创板,0,5,9,14,59.0318,0.1485,517000000.0,229.0,2026-04-13
200,300685,创业板,0,5,9,14,53.8265,0.1855,361000000.0,22.86,2026-04-13
